,Age,Gender,Degree of Edu,Income,Health Condition,Outdoor Activity Engaged,Outdoor Activity Eliminated(Days),Air Index (Activity Reduced),Air Index(Activity Eliminated)
1923,34,Male,High school graduate,"Upto to $74,999",Excellent,A few times per week,3,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1924,68,Female,Bachelor’s degree,"$100,000 or more",Excellent,A few times per week,1,No Response,No Response
1925,64,Male,College,No Response,Good,A few times per week,2,No Response,Red – Unhealthy
1926,57,Female,Bachelor’s degree,"$100,000 or more",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1927,56,Female,Associates degree,No Response,Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
1928,28,Male,Bachelor’s degree,"Upto to $74,999",Good,A few times per week,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1929,64,Male,College,"Upto to $74,999",Excellent,Daily,No Response,No Response,No Response
1930,36,Male,Associates degree,"Upto to $74,999",Excellent,No Response,6,Orange – Unhealthy for Sensitive Groups,Yellow – Moderate
1931,35,Female,Master’s degree,"Upto to $99,999",Excellent,No Response,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1932,21,Female,College,"$25,000 or less",Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
1933,60,Male,Bachelor’s degree,"Upto to $74,999",Good,No Response,5,Yellow – Moderate,Yellow – Moderate
1934,55,Female,College,"Upto to $49,999",Good,Daily,1,Purple – Very Unhealthy,Red – Unhealthy
1935,44,Male,College,"Upto to $74,999",Good,A few times per week,6,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups
1936,68,Female,College,"Upto to $49,999",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
1937,49,Male,Associates degree,"Upto to $49,999",Good,No Response,4,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1938,67,Female,8th grade or less,"$25,000 or less",Fair,Once per week,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1939,19,Male,College,"$25,000 or less",Good,Once per week,1,Red – Unhealthy,Purple – Very Unhealthy
1940,32,Male,Associates degree,"Upto to $74,999",Poor,No Response,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1941,19,Female,College,"$100,000 or more",Excellent,Daily,1,Purple – Very Unhealthy,Maroon – Hazardous
1942,24,Male,College,"Upto to $74,999",Excellent,Daily,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1943,60,Male,Master’s degree,"$100,000 or more",Excellent,A few times per week,1,Red – Unhealthy,Red – Unhealthy
1944,39,Female,Master’s degree,"Upto to $99,999",Excellent,Once per week,1,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1945,40,Female,College,"$100,000 or more",Good,Common,2,Red – Unhealthy,Purple – Very Unhealthy
1946,72,Female,Associates degree,"Upto to $49,999",Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
1947,68,Male,Associates degree,"Upto to $49,999",Excellent,A few times per week,4,Red – Unhealthy,Purple – Very Unhealthy
1948,22,Male,Bachelor’s degree,"Upto to $49,999",Excellent,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1949,41,Female,Bachelor’s degree,"Upto to $74,999",Excellent,Once per week,1,Maroon – Hazardous,Maroon – Hazardous
1950,24,Female,College,"Upto to $74,999",Good,Once per week,5,Red – Unhealthy,Purple – Very Unhealthy
1951,38,Male,Master’s degree,"Upto to $99,999",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1952,19,Female,High school graduate,No Response,Good,A few times per week,1,Maroon – Hazardous,Maroon – Hazardous
1953,28,Female,Master’s degree,"$100,000 or more",Excellent,Daily,2,Not familiar,Not familiar
1954,28,Male,Master’s degree,"$100,000 or more",Excellent,Daily,1,Not familiar,Not familiar
1955,60,Female,Bachelor’s degree,"Upto to $74,999",Good,No Response,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1957,71,Male,College,"Upto to $99,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1958,35,Male,Bachelor’s degree,"Upto to $74,999",Good,A few times per week,2,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1959,37,Female,Master’s degree,"Upto to $74,999",Excellent,A few times per week,2,Red – Unhealthy,Red – Unhealthy
1960,58,Others,No Response,No Response,Good,Daily,6,Red – Unhealthy,Red – Unhealthy
1962,28,Female,College,"Upto to $74,999",Good,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1963,67,Male,College,No Response,Excellent,Daily,3,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1964,63,Male,College,"Upto to $49,999",Good,Daily,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1965,23,Female,High school graduate,"Upto to $49,999",Good,A few times per week,2,Not familiar,Not familiar
1966,39,Male,College,No Response,Good,No Response,No Response,Purple – Very Unhealthy,Maroon – Hazardous
1967,61,Male,High school graduate,No Response,Good,A few times per week,1,Purple – Very Unhealthy,Maroon – Hazardous
1968,51,Male,Bachelor’s degree,"$100,000 or more",Excellent,Daily,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1969,48,Female,Bachelor’s degree,"$100,000 or more",Excellent,Daily,4,Red – Unhealthy,Red – Unhealthy
1970,24,Female,Bachelor’s degree,"Upto to $74,999",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1971,37,Male,Master’s degree,"$100,000 or more",Excellent,A few times per week,4,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
1972,68,Male,College,"Upto to $49,999",Excellent,No Response,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1973,43,Male,College,"$100,000 or more",Good,Daily,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1974,43,Female,High school graduate,"$100,000 or more",Good,Daily,5,No Response,No Response
1975,75,Male,High school graduate,"Upto to $74,999",Excellent,Daily,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1976,81,Male,No Response,"$25,000 or less",Good,No Response,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1977,54,Male,Bachelor’s degree,No Response,Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1978,60,Male,College,No Response,Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1979,24,Male,Master’s degree,"$100,000 or more",Excellent,Once per week,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1980,28,Female,Master’s degree,"$100,000 or more",Excellent,Once per week,2,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
1981,25,Female,Bachelor’s degree,"Upto to $49,999",Excellent,Daily,6,Not familiar,Not familiar
1982,62,Female,College,"Upto to $99,999",Good,No Response,2,Red – Unhealthy,Purple – Very Unhealthy
1983,64,Male,College,"$25,000 or less",Fair,Daily,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1984,47,Male,Bachelor’s degree,"$25,000 or less",Good,No Response,1,Not familiar,Not familiar
1985,64,Female,College,"$100,000 or more",Excellent,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1986,65,Male,Bachelor’s degree,"$100,000 or more",Good,No Response,3,Red – Unhealthy,Purple – Very Unhealthy
1987,22,Female,Bachelor’s degree,"$25,000 or less",Excellent,No Response,2,Not familiar,Not familiar
1988,27,Female,Master’s degree,"Upto to $99,999",Excellent,Once per week,1,Red – Unhealthy,Red – Unhealthy
1989,47,Female,High school graduate,"$100,000 or more",Excellent,Daily,1,Maroon – Hazardous,Maroon – Hazardous
1990,26,Female,College,"Upto to $74,999",Good,Once per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1991,23,Male,College,"Upto to $74,999",Excellent,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
1992,36,Male,Master’s degree,"$100,000 or more",Good,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
1993,35,Female,Bachelor’s degree,"$100,000 or more",Excellent,Once per week,1,Maroon – Hazardous,Maroon – Hazardous
1994,67,Male,College,No Response,Good,Once per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1995,24,Female,Bachelor’s degree,"Upto to $74,999",Excellent,A few times per week,1,Red – Unhealthy,Maroon – Hazardous
1996,50,Male,Bachelor’s degree,"$100,000 or more",Excellent,No Response,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
1997,30,Male,Bachelor’s degree,"Upto to $74,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
1998,36,Female,Master’s degree,"$100,000 or more",Good,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
1999,21,Male,College,"Upto to $49,999",Good,A few times per week,3,No Response,Red – Unhealthy
2000,21,Male,College,"$25,000 or less",Excellent,A few times per week,1,Maroon – Hazardous,Maroon – Hazardous
2001,64,Male,College,No Response,Good,No Response,3,Orange – Unhealthy for Sensitive Groups,Yellow – Moderate
2002,42,Male,Bachelor’s degree,No Response,Good,Common,2,Orange – Unhealthy for Sensitive Groups,No Response
2003,72,Female,Bachelor’s degree,"Upto to $74,999",Good,Once per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2004,61,Male,Bachelor’s degree,"Upto to $99,999",Excellent,Daily,4,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
2005,48,Male,High school graduate,"$25,000 or less",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
2006,36,Male,College,"$25,000 or less",Good,No Response,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2007,45,Male,High school graduate,No Response,Fair,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2008,63,Male,High school graduate,"Upto to $99,999",Good,Once per week,2,Red – Unhealthy,Green – Good
2009,67,Female,High school graduate,"Upto to $99,999",Fair,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2010,21,Female,High school graduate,"Upto to $49,999",Excellent,Daily,1,Green – Good,Green – Good
2011,59,Male,Bachelor’s degree,No Response,Good,A few times per week,1,Red – Unhealthy,Maroon – Hazardous
2012,39,Female,Bachelor’s degree,"$100,000 or more",Good,A few times per week,1,Not familiar,Not familiar
2013,66,Male,Bachelor’s degree,"$100,000 or more",Excellent,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
2014,47,Male,Ph.D,"Upto to $99,999",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
2015,62,Female,Master’s degree,"Upto to $49,999",Good,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
2016,19,Female,8th grade or less,No Response,Fair,A few times per week,2,Green – Good,Green – Good
2017,39,Female,College,"Upto to $49,999",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2018,60,Female,Associates degree,"Upto to $74,999",Excellent,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2019,30,Female,High school graduate,"Upto to $49,999",Good,Daily,1,Not familiar,Not familiar
2020,36,Female,Bachelor’s degree,"$100,000 or more",0000,No Response,1,Purple – Very Unhealthy,Maroon – Hazardous
2021,55,Male,High school graduate,"Upto to $49,999",Good,A few times per week,1,Not familiar,Not familiar
2022,56,Female,Bachelor’s degree,"Upto to $74,999",Excellent,A few times per week,2,Red – Unhealthy,Maroon – Hazardous
2023,34,Male,High school graduate,"Upto to $74,999",Good,Daily,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2024,63,Female,Bachelor’s degree,"Upto to $99,999",Fair,A few times per week,1,Purple – Very Unhealthy,Purple – Very Unhealthy
2025,61,Female,Master’s degree,"$100,000 or more",Excellent,No Response,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2026,54,Male,Bachelor’s degree,No Response,Excellent,Daily,5,Red – Unhealthy,Red – Unhealthy
2027,59,Male,Ph.D,"$100,000 or more",Good,No Response,1,Purple – Very Unhealthy,Purple – Very Unhealthy
2028,50,Female,Bachelor’s degree,"Upto to $74,999",Good,Once per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2029,41,Male,Bachelor’s degree,"Upto to $74,999",Good,A few times per week,6,Red – Unhealthy,Maroon – Hazardous
2030,34,Male,Bachelor’s degree,"$25,000 or less",Good,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2031,29,Male,High school graduate,"Upto to $74,999",0000,No Response,3,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
2032,59,Male,Master’s degree,"Upto to $99,999",Excellent,A few times per week,3,Red – Unhealthy,Purple – Very Unhealthy
2033,44,Female,Bachelor’s degree,"Upto to $99,999",Good,A few times per week,6,Red – Unhealthy,Purple – Very Unhealthy
2034,46,Female,Bachelor’s degree,"$25,000 or less",Good,Once per week,6,Green – Good,Yellow – Moderate
2035,48,Male,Master’s degree,"Upto to $49,999",Good,No Response,3,No Response,Red – Unhealthy
2036,30,Female,Bachelor’s degree,"Upto to $99,999",Excellent,Once per week,1,Not familiar,Not familiar
2037,61,Male,College,"Upto to $74,999",Excellent,Daily,1,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2038,61,Male,College,"Upto to $49,999",Poor,No Response,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
2039,55,Male,Bachelor’s degree,"Upto to $99,999",Excellent,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
2040,24,Male,Associates degree,"$25,000 or less",Fair,A few times per week,2,Not familiar,Not familiar
2041,63,Female,College,"$100,000 or more",Fair,A few times per week,2,Red – Unhealthy,Maroon – Hazardous
2042,42,Male,Ph.D,"Upto to $49,999",Excellent,Daily,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2043,48,Female,Bachelor’s degree,"Upto to $99,999",0000,A few times per week,1,Red – Unhealthy,Red – Unhealthy
2044,16,Male,High school,"Upto to $74,999",Excellent,Daily,3,No Response,No Response
2045,31,Male,Ph.D,"$100,000 or more",Excellent,Daily,1,Purple – Very Unhealthy,Purple – Very Unhealthy
2046,46,Female,College,"$100,000 or more",Excellent,Daily,1,Purple – Very Unhealthy,Purple – Very Unhealthy
2047,42,Male,Master’s degree,"$100,000 or more",Good,Once per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2048,39,Female,Bachelor’s degree,"Upto to $99,999",Good,Once per week,4,Red – Unhealthy,Purple – Very Unhealthy
2049,38,Male,Ph.D,"$100,000 or more",Excellent,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2050,60,Female,College,"$25,000 or less",Good,Daily,1,Red – Unhealthy,Purple – Very Unhealthy
2051,24,Male,College,"Upto to $49,999",Good,Daily,3,Orange – Unhealthy for Sensitive Groups,No Response
2052,38,Female,Bachelor’s degree,"$100,000 or more",Fair,A few times per week,1,Maroon – Hazardous,Maroon – Hazardous
2053,34,Female,High school graduate,"Upto to $74,999",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2054,41,Male,Associates degree,"$100,000 or more",Excellent,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
2055,61,Male,College,"$100,000 or more",Excellent,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
2056,53,Male,High school graduate,"Upto to $99,999",Good,Common,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
2057,49,Male,Master’s degree,"$100,000 or more",Good,Daily,2,Red – Unhealthy,Maroon – Hazardous
2058,31,Male,College,"Upto to $49,999",Excellent,A few times per week,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
2059,48,Female,College,"Upto to $49,999",Excellent,No Response,1,Purple – Very Unhealthy,Red – Unhealthy
2060,70,Male,Master’s degree,"$100,000 or more",Fair,Once per week,5,No Response,Red – Unhealthy
2061,64,Male,Master’s degree,"Upto to $74,999",Good,No Response,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2062,63,Female,Bachelor’s degree,"$100,000 or more",Excellent,A few times per week,1,Not familiar,Not familiar
2063,36,Male,Associates degree,"Upto to $74,999",Excellent,A few times per week,4,Red – Unhealthy,Red – Unhealthy
2064,33,Female,High school graduate,"$100,000 or more",Good,Daily,1,Not familiar,Not familiar
2065,40,Female,High school graduate,"Upto to $74,999",Good,No Response,1,Red – Unhealthy,Red – Unhealthy
2066,32,Female,High school graduate,"Upto to $74,999",Excellent,Daily,1,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
2067,24,Male,High school,"$100,000 or more",Excellent,Daily,1,Not familiar,Not familiar
2068,27,Female,High school graduate,"$100,000 or more",Excellent,Daily,1,Not familiar,Not familiar
2069,31,Male,Bachelor’s degree,No Response,Excellent,No Response,3,Red – Unhealthy,Red – Unhealthy
2070,33,Male,College,No Response,Excellent,Daily,1,Maroon – Hazardous,Maroon – Hazardous
2072,40,Male,High school graduate,No Response,0000,No Response,No Response,No Response,No Response
2073,39,Male,College,"$100,000 or more",Excellent,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2074,43,Male,Master’s degree,"$100,000 or more",Good,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Maroon – Hazardous
2075,49,Female,Bachelor’s degree,"$100,000 or more",Fair,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2076,62,Male,Associates degree,"Upto to $74,999",Good,A few times per week,No Response,No Response,No Response
2077,57,Male,High school graduate,"Upto to $49,999",Good,A few times per week,No Response,Red – Unhealthy,Orange – Unhealthy for Sensitive Groups
2078,43,Male,Associates degree,"Upto to $74,999",Excellent,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2079,43,Female,Bachelor’s degree,"$100,000 or more",Good,A few times per week,3,Red – Unhealthy,Red – Unhealthy
2080,34,Female,College,"Upto to $99,999",Excellent,Daily,4,Red – Unhealthy,Red – Unhealthy
2081,44,Male,College,"Upto to $49,999",Good,Once per week,1,Purple – Very Unhealthy,Maroon – Hazardous
2082,42,Male,Master’s degree,"$100,000 or more",Excellent,A few times per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2083,33,Male,High school graduate,"Upto to $74,999",Excellent,Daily,4,Red – Unhealthy,Purple – Very Unhealthy
2084,40,Female,Bachelor’s degree,"$100,000 or more",0000,No Response,1,Red – Unhealthy,Purple – Very Unhealthy
2085,48,Male,Bachelor’s degree,"$100,000 or more",Excellent,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
2086,34,Female,Bachelor’s degree,"$100,000 or more",Good,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2087,47,Male,Master’s degree,"$100,000 or more",Fair,No Response,1,Red – Unhealthy,Purple – Very Unhealthy
2088,36,Male,Bachelor’s degree,"$100,000 or more",Excellent,A few times per week,1,Red – Unhealthy,Purple – Very Unhealthy
2089,30,Male,Bachelor’s degree,"$100,000 or more",Excellent,Once per week,2,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
2090,42,Male,High school graduate,"$100,000 or more",Good,No Response,1,Red – Unhealthy,Red – Unhealthy
2091,29,Female,Associates degree,"$100,000 or more",Excellent,Daily,5,Orange – Unhealthy for Sensitive Groups,Purple – Very Unhealthy
2092,34,Male,College,"Upto to $99,999",Good,No Response,1,Red – Unhealthy,Red – Unhealthy
2093,40,Female,Bachelor’s degree,"Upto to $99,999",Good,No Response,3,Red – Unhealthy,Purple – Very Unhealthy
2094,35,Female,College,"$100,000 or more",Good,Once per week,1,Maroon – Hazardous,Maroon – Hazardous
2095,37,Female,Bachelor’s degree,"$100,000 or more",Good,Once per week,2,Red – Unhealthy,Purple – Very Unhealthy
2096,38,Male,College,"$100,000 or more",Excellent,A few times per week,3,Red – Unhealthy,Purple – Very Unhealthy
2097,75,Male,College,"Upto to $99,999",Good,Daily,1,Purple – Very Unhealthy,Purple – Very Unhealthy
2098,47,Male,Bachelor’s degree,"$100,000 or more",Excellent,A few times per week,2,Not familiar,Not familiar
2099,47,Male,Bachelor’s degree,"Upto to $74,999",Excellent,Daily,3,Yellow – Moderate,Red – Unhealthy
2100,40,Female,Bachelor’s degree,"Upto to $49,999",Excellent,Daily,2,Red – Unhealthy,Red – Unhealthy
2101,41,Male,College,"Upto to $49,999",Good,Daily,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2102,32,Male,High school,"Upto to $99,999",Good,Daily,1,Purple – Very Unhealthy,Purple – Very Unhealthy
2103,34,Female,High school,"Upto to $99,999",Excellent,Daily,1,Maroon – Hazardous,Maroon – Hazardous
2104,33,Male,High school graduate,"Upto to $49,999",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2105,39,Male,Bachelor’s degree,"Upto to $74,999",Excellent,Daily,3,Purple – Very Unhealthy,Maroon – Hazardous
2106,46,Male,Bachelor’s degree,"$100,000 or more",Excellent,Daily,1,Purple – Very Unhealthy,Maroon – Hazardous
2107,42,Male,No Response,"Upto to $49,999",Good,No Response,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2108,44,Male,Associates degree,"Upto to $74,999",Good,A few times per week,3,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
2109,40,Male,College,"Upto to $74,999",Good,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2110,54,Male,College,"Upto to $74,999",Good,Daily,2,Red – Unhealthy,Red – Unhealthy
2111,49,Female,College,"Upto to $99,999",Good,No Response,1,Purple – Very Unhealthy,Maroon – Hazardous
2112,29,Male,Master’s degree,"Upto to $49,999",Good,No Response,No Response,Red – Unhealthy,Purple – Very Unhealthy
2113,45,Male,Bachelor’s degree,"Upto to $99,999",Good,A few times per week,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2114,38,Male,College,"$100,000 or more",Excellent,A few times per week,1,Red – Unhealthy,Red – Unhealthy
2115,45,Male,Master’s degree,"Upto to $99,999",Good,A few times per week,No Response,No Response,No Response
2116,62,Male,College,"$25,000 or less",Excellent,Daily,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
2117,33,Male,Bachelor’s degree,"$100,000 or more",Excellent,Daily,1,Maroon – Hazardous,Maroon – Hazardous
2118,59,Male,College,"$100,000 or more",Excellent,Daily,2,Purple – Very Unhealthy,Maroon – Hazardous
2119,42,Male,Master’s degree,"$100,000 or more",Excellent,Daily,1,Red – Unhealthy,Red – Unhealthy
2120,37,Male,College,"$100,000 or more",Good,Daily,6,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
2121,65,Male,College,"Upto to $49,999",Good,A few times per week,3,Red – Unhealthy,Red – Unhealthy
2122,28,Male,High school graduate,"$100,000 or more",Good,A few times per week,3,Red – Unhealthy,Red – Unhealthy
2123,47,Male,Bachelor’s degree,"$100,000 or more",Good,A few times per week,3,No Response,No Response
2124,38,Male,College,"Upto to $74,999",Excellent,A few times per week,2,Red – Unhealthy,Red – Unhealthy
2125,44,Female,High school graduate,"$100,000 or more",Good,A few times per week,6,No Response,Red – Unhealthy
2126,21,Male,High school graduate,"$25,000 or less",Good,No Response,1,Not familiar,Not familiar
2127,37,Male,Associates degree,"$100,000 or more",Excellent,A few times per week,3,Red – Unhealthy,Red – Unhealthy
2128,53,Male,Bachelor’s degree,"Upto to $74,999",Good,A few times per week,1,Purple – Very Unhealthy,Maroon – Hazardous
2129,53,Female,College,"Upto to $99,999",Good,A few times per week,1,Purple – Very Unhealthy,Purple – Very Unhealthy
2130,42,Female,High school graduate,"$100,000 or more",Good,Daily,1,Purple – Very Unhealthy,Red – Unhealthy
2131,44,Male,Bachelor’s degree,No Response,Good,Daily,2,Red – Unhealthy,Purple – Very Unhealthy
2132,34,Male,College,"$100,000 or more",Good,Once per week,1,Purple – Very Unhealthy,Maroon – Hazardous
2133,35,Male,Bachelor’s degree,"Upto to $74,999",Good,Once per week,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2134,35,Female,Bachelor’s degree,"$100,000 or more",Good,A few times per week,1,Not familiar,Not familiar
2135,46,Male,Bachelor’s degree,"$100,000 or more",Excellent,A few times per week,1,Not familiar,Not familiar
2136,47,Female,Ph.D,"$100,000 or more",Good,Daily,No Response,Purple – Very Unhealthy,No Response
2137,47,Female,Master’s degree,"$100,000 or more",Good,Once per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2138,38,Male,Bachelor’s degree,"$100,000 or more",Excellent,Daily,2,Yellow – Moderate,Orange – Unhealthy for Sensitive Groups
2139,27,Male,Associates degree,"Upto to $49,999",Excellent,A few times per week,1,Not familiar,Not familiar
2140,55,Female,Bachelor’s degree,"$100,000 or more",Excellent,Daily,1,Red – Unhealthy,Purple – Very Unhealthy
2142,33,Female,College,"$100,000 or more",Excellent,A few times per week,1,Not familiar,Not familiar
2143,20,Male,High school graduate,"$25,000 or less",Excellent,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2144,41,Male,Bachelor’s degree,No Response,Excellent,Daily,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2145,25,Male,Bachelor’s degree,"$100,000 or more",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2146,21,Female,College,"Upto to $74,999",Good,A few times per week,4,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2147,41,Male,Bachelor’s degree,No Response,Good,Daily,3,Red – Unhealthy,Maroon – Hazardous
2148,39,Male,Master’s degree,"$100,000 or more",Good,A few times per week,1,Maroon – Hazardous,Maroon – Hazardous
2149,42,Female,Master’s degree,"$100,000 or more",Excellent,A few times per week,2,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2150,42,Male,Bachelor’s degree,"Upto to $49,999",Excellent,A few times per week,2,Not familiar,Not familiar
2151,37,Male,Master’s degree,"Upto to $74,999",Excellent,Daily,2,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
2152,39,Female,Master’s degree,"$100,000 or more",Excellent,Daily,5,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2153,50,Female,Ph.D,"$100,000 or more",Good,A few times per week,2,Red – Unhealthy,Purple – Very Unhealthy
2154,47,Male,Ph.D,"$25,000 or less",Good,Once per week,6,Orange – Unhealthy for Sensitive Groups,Yellow – Moderate
2155,49,Male,Ph.D,"$100,000 or more",Excellent,A few times per week,2,Maroon – Hazardous,Maroon – Hazardous
2156,43,Male,Ph.D,"$100,000 or more",Excellent,Daily,5,Red – Unhealthy,Purple – Very Unhealthy
2157,39,Male,Bachelor’s degree,"$100,000 or more",Excellent,Daily,3,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2158,40,Male,Master’s degree,"Upto to $99,999",Good,Daily,2,Maroon – Hazardous,Maroon – Hazardous
2159,43,Female,Master’s degree,"$100,000 or more",Good,Once per week,6,Orange – Unhealthy for Sensitive Groups,Red – Unhealthy
2160,41,Male,Ph.D,"Upto to $99,999",Excellent,A few times per week,6,Orange – Unhealthy for Sensitive Groups,Orange – Unhealthy for Sensitive Groups
2161,33,Female,Bachelor’s degree,"Upto to $49,999",Good,A few times per week,1,Purple – Very Unhealthy,Purple – Very Unhealthy
2162,51,Female,Master’s degree,"Upto to $99,999",Excellent,Daily,1,Purple – Very Unhealthy,Maroon – Hazardous
